scenario,county,mean_risk,n_points
baseline,Carlow,0.6882,4
baseline,Cavan,0.6971,4
baseline,Clare,0.6373,4
baseline,Cork,0.6611,4
baseline,Donegal,0.5667,4
baseline,Dublin,0.7908,4
baseline,Galway,0.6065,4
baseline,Kerry,0.555,4
baseline,Kildare,0.7595,4
baseline,Kilkenny,0.7253,4
baseline,Laois,0.7205,4
baseline,Leitrim,0.5741,4
baseline,Limerick,0.7185,4
baseline,Longford,0.688,4
baseline,Louth,0.7578,4
baseline,Mayo,0.59,4
baseline,Meath,0.7616,4
baseline,Monaghan,0.7037,4
baseline,Offaly,0.726,4
baseline,Roscommon,0.6954,4
baseline,Sligo,0.5869,4
baseline,Tipperary,0.6988,4
baseline,Waterford,0.6915,4
baseline,Westmeath,0.7297,4
baseline,Wexford,0.7172,4
baseline,Wicklow,0.6558,4
baseline,England (microbit),0.5895,50
scenario_temp_plus_3C,Carlow,0.7332,4
scenario_temp_plus_3C,Cavan,0.7421,4
scenario_temp_plus_3C,Clare,0.6824,4
scenario_temp_plus_3C,Cork,0.7061,4
scenario_temp_plus_3C,Donegal,0.6117,4
scenario_temp_plus_3C,Dublin,0.8358,4
scenario_temp_plus_3C,Galway,0.6515,4
scenario_temp_plus_3C,Kerry,0.6,4
scenario_temp_plus_3C,Kildare,0.8045,4
scenario_temp_plus_3C,Kilkenny,0.7703,4
scenario_temp_plus_3C,Laois,0.7655,4
scenario_temp_plus_3C,Leitrim,0.6191,4
scenario_temp_plus_3C,Limerick,0.7635,4
scenario_temp_plus_3C,Longford,0.733,4
scenario_temp_plus_3C,Louth,0.8028,4
scenario_temp_plus_3C,Mayo,0.635,4
scenario_temp_plus_3C,Meath,0.8066,4
scenario_temp_plus_3C,Monaghan,0.7487,4
scenario_temp_plus_3C,Offaly,0.771,4
scenario_temp_plus_3C,Roscommon,0.7404,4
scenario_temp_plus_3C,Sligo,0.6319,4
scenario_temp_plus_3C,Tipperary,0.7438,4
scenario_temp_plus_3C,Waterford,0.7365,4
scenario_temp_plus_3C,Westmeath,0.7747,4
scenario_temp_plus_3C,Wexford,0.7622,4
scenario_temp_plus_3C,Wicklow,0.7008,4
scenario_temp_plus_3C,England (microbit),0.6345,50
scenario_rain_minus_30pct,Carlow,0.7702,4
scenario_rain_minus_30pct,Cavan,0.7743,4
scenario_rain_minus_30pct,Clare,0.733,4
scenario_rain_minus_30pct,Cork,0.7513,4
scenario_rain_minus_30pct,Donegal,0.6833,4
scenario_rain_minus_30pct,Dublin,0.8275,4
scenario_rain_minus_30pct,Galway,0.7093,4
scenario_rain_minus_30pct,Kerry,0.6742,4
scenario_rain_minus_30pct,Kildare,0.8208,4
scenario_rain_minus_30pct,Kilkenny,0.799,4
scenario_rain_minus_30pct,Laois,0.7913,4
scenario_rain_minus_30pct,Leitrim,0.6857,4
scenario_rain_minus_30pct,Limerick,0.788,4
scenario_rain_minus_30pct,Longford,0.7645,4
scenario_rain_minus_30pct,Louth,0.8177,4
scenario_rain_minus_30pct,Mayo,0.6987,4
scenario_rain_minus_30pct,Meath,0.8171,4
scenario_rain_minus_30pct,Monaghan,0.7811,4
scenario_rain_minus_30pct,Offaly,0.7883,4
scenario_rain_minus_30pct,Roscommon,0.7791,4
scenario_rain_minus_30pct,Sligo,0.6962,4
scenario_rain_minus_30pct,Tipperary,0.7783,4
scenario_rain_minus_30pct,Waterford,0.7729,4
scenario_rain_minus_30pct,Westmeath,0.7971,4
scenario_rain_minus_30pct,Wexford,0.7945,4
scenario_rain_minus_30pct,Wicklow,0.7423,4
scenario_rain_minus_30pct,England (microbit),0.7022,50
